=== COMPOSITION hunt (18×18 · N=20000 · MAXARG=2000000 · exact int) ===

[A] comp(n) = k·n   (superperfect = σ∘σ, k=2)
[B] comp(n) = af(h,n) + n   (σ∘σ=σ+n ⟺ σ prime · Mersenne)
[C] comp(n) = af(h,n)   (σ∘φ=n, φ∘σ=n classical)
[D] comp1(n) = comp2(n)   (composition vs composition · low-growth subset)

======================================================================

── Frame A (=k·n): bounded=284  universal/structural=9
   [novel?]                 n∘φ = core∘Ω                       sol=[2]
   [novel?]                 n∘φ = core∘φ                       sol=[2]
   [novel?]                 n∘φ = core∘ω                       sol=[2]
   [novel?]                 n∘φ = sopfr∘ω                      sol=[6]
   [novel?]                 n∘φ = σ∘τ                          sol=[28]
   [novel?]                 n∘φ = σ∘ω                          sol=[2]
   [novel?]                 n∘φ = φ∘core                       sol=[2]
   [novel?]                 n∘φ = φ∘Ω                          sol=[2]
   [novel?]                 n∘φ = φ∘ω                          sol=[2]
   [novel?]                 n∘φ = ψ∘φ                          sol=[2]
   [novel?]                 n∘φ = ψ∘ω                          sol=[2]
   [novel?]                 n∘φ = ω∘sopfr                      sol=[2]
   [novel?]                 n∘φ = ω∘τ                          sol=[2]
   [novel?]                 rad∘σ = n∘n                        sol=[6]
   [novel?]                 rad∘σ = φ∘φ                        sol=[7]
   [novel?]                 rad∘τ = n∘n                        sol=[2]
   [novel?]                 rad∘φ = core∘rad                   sol=[2]
   [novel?]                 rad∘φ = σ∘core                     sol=[2]
   [novel?]                 rad∘φ = ψ∘φ                        sol=[2]
   [novel?]                 rad∘ψ = σ∘core                     sol=[18252]
   [novel?]                 sopfr∘n = τ∘sopfr                  sol=[2]
   [novel?]                 sopfr∘sopfr = φ∘ψ                  sol=[2]
   [novel?]                 sopfr∘σ = rad∘core                 sol=[1764]
   [novel?]                 sopfr∘σ = τ∘sopfr                  sol=[2495]
   [novel?]                 sopfr∘τ = n∘n                      sol=[2]
   [novel?]                 sopfr∘τ = n∘sopfr                  sol=[2]
   [novel?]                 sopfr∘τ = sopfr∘n                  sol=[2]
   [novel?]                 sopfr∘τ = τ∘ψ                      sol=[2]
   [novel?]                 sopfr∘φ = n∘ω                      sol=[6]
   [novel?]                 sopfr∘φ = rad∘ω                    sol=[6]
   [novel?]                 sopfr∘φ = Ω∘core                   sol=[2]
   [novel?]                 sopfr∘φ = Ω∘rad                    sol=[6]
   [novel?]                 sopfr∘φ = Ω∘sopfr                  sol=[4]
   [novel?]                 sopfr∘φ = Ω∘Ω                      sol=[2]
   [novel?]                 sopfr∘φ = Ω∘τ                      sol=[6]
   [novel?]                 sopfr∘φ = Ω∘φ                      sol=[2]
   [novel?]                 sopfr∘φ = Ω∘ω                      sol=[2]
   [novel?]                 sopfr∘φ = τ∘ω                      sol=[6]
   … (+1323 more bounded hits)

======================================================================
SANITY GATES (classical composition rediscovery):
   σ∘σ=2n  -> [2, 4, 16, 64, 4096]   PASS (prefix of [2, 4, 16, 64, 4096])
   σ∘σ=σ+n -> [3, 7, 31, 127, 8191]   PASS (prefix of [3, 7, 31, 127, 8191])

======================================================================
NOVEL ACCOUNTING (honest · c2 · bounded-evidence only · forall UNPROVEN):
   total finite-solution hits           : 3359
     coincidence noise (|sol|<3)        : 1727   (NOT identities)
     STRUCTURED sparse (|sol|≥3)         : 1632
        of which KNOWN/classical          : 4
        of which NOVEL (unexplained)       : 1628
   universal-in-[2,N] structural hits    : 2909
     (these are restatements of definitional/product identities — e.g.
      n∘g = g, structural; not composition-specific new laws)

STRUCTURED-SPARSE hits |sol|≥3 (the discovery vein · hand-triage):
   [NOVEL?]                   rad∘φ = φ∘ψ                    sol=[3, 4, 5, 13, 61, 157, 277, 421, 661, 733, 877, 997]
   [NOVEL?]                   μ²∘J₃ = μ²                     sol=[2, 3, 4, 6, 8, 9, 11, 12, 16, 18, 20, 23]
   [NOVEL?]                   τ∘φ = σ∘core                   sol=[2, 9, 12, 18, 25, 49, 50, 98, 136, 252, 304, 363]
   [NOVEL?]                   n∘τ = ψ∘sopfr                  sol=[252, 300, 660, 792, 810, 840, 1176, 1260, 1400, 1584, 1800, 2040]
   [NOVEL?]                   Ω∘φ = sopfr∘sopfr              sol=[512, 1024, 1664, 2240, 2688, 2720, 2816, 3200, 3264, 3584, 4160, 4320]
   [NOVEL?]                   τ∘n = ψ∘sopfr                  sol=[252, 300, 660, 792, 810, 840, 1176, 1260, 1400, 1584, 1800, 2040]
   [NOVEL?]                   φ∘rad = ω∘ψ                    sol=[2, 6, 9, 12, 18, 24, 27, 36, 48, 54, 72, 81]
   [NOVEL?]                   φ∘σ = rad∘φ                    sol=[3, 5, 13, 61, 157, 277, 421, 661, 733, 877, 997, 1093]
   [NOVEL?]                   φ∘τ = φ∘rad                    sol=[2, 6, 9, 12, 18, 27, 40, 80, 120, 160, 196, 200]
   [NOVEL?]                   ψ∘2^ω = rad                    sol=[3, 6, 9, 12, 18, 24, 27, 36, 48, 54, 72, 81]
   [NOVEL?]                   ψ∘sopfr = τ                    sol=[252, 300, 660, 792, 810, 840, 1176, 1260, 1400, 1584, 1800, 2040]
   [NOVEL?]                   ψ∘τ = σ∘rad                    sol=[2, 9, 12, 18, 24, 36, 54, 80, 125, 224, 392, 448]
   [NOVEL?]                   ψ∘τ = ψ∘rad                    sol=[2, 9, 12, 18, 24, 36, 54, 80, 125, 224, 392, 448]
   [NOVEL?]                   ω∘φ = φ∘rad                    sol=[4, 8, 9, 16, 18, 27, 32, 36, 54, 64, 72, 81]
   [NOVEL?]                   core∘σ = rad∘ψ                 sol=[3, 22, 88, 96, 198, 472, 745, 792, 820, 884, 970, 1004]
   [NOVEL?]                   Ω∘τ = ω∘Ω                      sol=[4, 9, 16, 25, 49, 81, 121, 144, 169, 289, 324, 361]
   [NOVEL?]                   λ∘σ₃ = λ                       sol=[3, 10, 11, 13, 14, 16, 18, 20, 23, 25, 28, 29]
   [NOVEL?]                   τ∘τ = Ω∘core                   sol=[32, 144, 243, 324, 400, 784, 1920, 1936, 2025, 2500, 2688, 2704]
   [NOVEL?]                   ψ∘τ = σ∘core                   sol=[9, 36, 242, 363, 605, 847, 1452, 1573, 2057, 2299, 2420, 2783]
   [NOVEL?]                   ω∘σ₂ = core                    sol=[2, 4, 18, 40, 45, 75, 88, 120, 136, 150, 152, 175]
   [NOVEL?]                   rad∘τ = ω∘core                 sol=[216, 900, 1000, 1080, 1512, 1764, 2376, 2744, 2808, 3000, 3375, 3456]
   [NOVEL?]                   σ∘τ = core∘sopfr               sol=[94, 1461, 1466, 1501, 1858, 2077, 2257, 3113, 3622, 3653, 4430, 4709]
